faction,color
Cedar Hill,"rgba(181,99,255,0.40)"
Catalpa,"rgba(222,32,20,0.40)"
Kult of Tharros,"rgba(230,93,0,0.40)"
Wardens,"rgba(151,207,78,0.40)"
Black Sky,"rgba(48,122,168,0.40)"
The Order,"rgba(49,59,62,0.40)"
Haven,"rgba(164,40,194,0.40)"
Prismatic Troupe,"rgba(84,255,0,0.40)"
GrimFrost,"rgba(92,56,255,0.40)"
The Cast,"rgba(242,230,25,0.40)"
White Ravens,"rgba(255,255,255,0.40)"
The Grove,"rgba(126,82,8,0.40)"
Geth,"rgba(2,27,144,0.40)"
Vidaria,"rgba(147,14,0,0.40)"
Silver Branches,"rgba(44,133,14,0.40)"
Blackthorne,"rgba(230,77,94,0.40)"
Mellondor,"rgba(93,167,44,0.40)"
